id;property_id;transaction_type;price;transaction_date;buyer;seller;agent;created_at;updated_at
1;12759;graduate;2319.52;2024-12-22T17:45:05;ouch considering;worth;yuck haze during;2024-12-23T06:59:34;2024-12-22T21:27:27
2;219;except rebuke 비행사;6826.8;2024-12-23T03:05:20;매력적인 er;barring 침략;yippee if beside;2024-12-22T15:03:16;2024-12-23T06:30:43
3;5075;delete 역겨운;4721.04;2024-12-22T19:17:56;응집;도전적으로 겁 없는 항공기;흥미롭게;2024-12-23T03:28:17;2024-12-22T18:09:35
4;15412;지루한;5143;2024-12-22T12:33:04;splay 대담하게 이타적인;yowza meh 어댑터;명랑하게;2024-12-23T02:32:45;2024-12-23T00:52:02
5;6713;ah over 비정상적으로;15345.29;2024-12-22T11:48:01;um;비정상적으로 gee;밝게 행복하게 except;2024-12-22T14:54:21;2024-12-23T05:52:51
6;28981;빠르게 inasmuch astride;31951.95;2024-12-23T09:59:07;indeed;along;항공료 가입 대담하게;2024-12-22T14:37:48;2024-12-22T18:55:05
7;2732;mash;31229.37;2024-12-22T20:02:07;ick;about;zowie 부러워하는;2024-12-23T09:10:48;2024-12-23T07:04:11
8;3127;굉장한 blah 부끄러운;4877.09;2024-12-22T13:30:17;misread cleave;통통한;psst;2024-12-22T23:56:43;2024-12-23T04:46:38
9;31981;aw whoever by;14833.32;2024-12-22T22:30:58;희미하게 above;consequently 합의 매혹적인;crystallize 예의;2024-12-22T12:12:44;2024-12-23T08:32:04
10;148;행복한;28304.25;2024-12-22T14:57:11;on whose;vice 잔인하게 nor;맹목적으로 미친;2024-12-22T21:41:10;2024-12-22T18:09:20
