id;complex_name;state;county;city;town;address_code;created_at;updated_at
1;단호한;pfft 사랑스러운;의기 양양한;구미군;원통형 between;배당 몹시 흥분한;2024-12-22T18:57:17;2024-12-22T19:46:01
2;instead;till;성인 위독한;송파군;추운 that canter;geez qua;2024-12-22T12:05:34;2024-12-23T00:35:56
3;겁 없는 er after;교육받은;바쁘게 탐욕스러운 경보;거창구;amongst;ouch 의심스럽게;2024-12-22T15:10:15;2024-12-22T16:59:00
4;achieve 향긋한;readies harvest for;밝게 고급의 대사;송파구;불결한 oh;공기 침략;2024-12-22T10:33:26;2024-12-22T10:39:28
5;pish;극적인 늙은 pish;likewise 바쁘게 how;목포시;진지한;drat kowto;2024-12-22T15:59:49;2024-12-23T01:48:47
6;amongst;eek 여진 침착한;아름답게;군산군;lest 고도 yowza;next;2024-12-22T15:46:25;2024-12-23T07:12:25
7;worth until;before clinch;ack;강화구;exonerate ha;깊이 대체로 whi;2024-12-23T07:28:42;2024-12-22T14:30:11
8;blah 여진;어색하게 행복하게;밝게;거창군;near;ew 일;2024-12-22T19:41:58;2024-12-22T16:49:52
9;lest chatter 용기 있는;why;공항 by 골목;안양구;frizz pish egg;여파 meh out;2024-12-22T22:30:55;2024-12-22T12:03:22
10;적극적인 밝게;qua when whoa;round;부천군;woot 알파카;추운 provide;2024-12-23T06:37:59;2024-12-23T07:47:06
