id;address;region_cd;local_name;street;floor;type;area;rooms;bathrooms;build_year;parking_yn;description;created_at;updated_at
1;among 교육받은;including;below 고요히;신길면;20212;yippee 앨범;19475.62;23185;30526;22613;b;gadzooks psst treble;2024-12-23T07:56:53;2024-12-23T09:18:00
2;conjecture that;provided regarding 방음;엄청난 before besides;만수면;32069;용감하게 neglect how;21093.09;2802;2531;31191;열;bestride 쿨하게;2024-12-23T01:01:45;2024-12-22T14:06:37
3;타원형의;예의;out before among;검단읍;26248;구실;7678.45;29111;343;9125;d;아름다운 dissemble save;2024-12-22T15:01:14;2024-12-22T23:53:03
4;uh-huh;밝게;meanwhile 즐겁게 유감스럽게;구로동;10700;boohoo even;5715.02;16063;11604;8928;w;대담하게 어두운 over;2024-12-23T05:56:41;2024-12-22T13:52:57
5;gosh 다소;동작;아름답게 fraternise;상계읍;14332;별개의;7132.99;17457;25682;27491;p;맹목적으로 next;2024-12-22T10:58:35;2024-12-22T11:33:29
6;hmph break;거꾸로 깊이 행복하게;bah 행복하게 yowza;주안동;12778;심하게;1866.09;20755;13873;13599;비;양 yuck;2024-12-23T00:07:37;2024-12-22T14:46:23
7;먼 어댑터;machine 비행사 beyond;노하여 바르게;만수읍;19681;간단히 the 아마존;31834.18;12266;240;7605;m;ah degenerate;2024-12-23T09:02:10;2024-12-22T14:11:01
8;from;나이 타원형의 행복하게;apropos yahoo 분석자;신월읍;22619;the;958.46;27269;17331;26234;b;ah;2024-12-22T15:57:40;2024-12-22T23:14:05
9;공군 어려운;brr 공항;appropriate plus;신정읍;17926;inscribe;7462.39;1298;12549;21310;양;노하여 지루한 유연;2024-12-23T02:07:52;2024-12-23T09:22:57
10;as why;약간의 분명히 바쁘게;athwart 지원 간단히;상도면;18699;pace where besides;31337.59;7607;3013;30930;w;ha reprimand;2024-12-22T15:06:16;2024-12-23T04:50:49
